avocado@2x.png,avocado
banana@2x.gif,banana
barney@2x.png,barney
bighead@2x.png,bighead
callinthequeue@2x.png,callinthequeue
carla@2x.png,carla
catlady@2x.png,catlady
dallas@2x.png,dallas
dinesh@2x.png,dinesh
disappear.gif,disappear
doitlive@2x.png,doitlive
drool.gif,drool
drumroll@2x.png,drumroll
eng@2x.png,eng
engineerz@2x.png,engineerz
erlich@2x.png,erlich
excellent.gif,excellent
gilfoyle@2x.png,gilfoyle
jared@2x.png,jared
jenkins@2x.png,jenkins
jianyang@2x.png,jianyang
kazan@2x.png,kazan
keg@2x.png,keg
michaeljackson@2x.gif,michael
monster@2x.png,monster
noneofmybusiness@2x.jpg,noneofmybusiness
ohno@2x.jpg,ohno
ohsauce@2x.png,ohsauce
pdf@2x.png,pdf
penguin.gif,penguin
phteven@2x.png,phteven
pizza@2x.png,pizza
richard@2x.png,richard
comic-book-guy.jpeg,sarcasm
spacex@2x.jpeg,spacex
unimpressed@2x.gif,unimpressed
wayne@2x.jpg,wayne
